# kappa_CO Color Extended Emission_line_flux
-1.155639591391562471e+00 -1.124880831845748164e-01 1.651551134111772234e-01 7.372966741507235716e-03
-8.521148738445946114e-01 -6.904951553230471717e-01 -2.112192598157006662e-01 9.277849049951355023e-03
-1.451583772552582641e+00 5.022750135290185991e-01 -2.228238190087958315e-01 -2.195850829762244910e-02
-6.493445116813811868e-02 -1.564887035432129536e-01 -2.551400591680422769e-01 1.086611571147043202e-02
-1.044578626496639240e+00 5.693754222812632548e-01 -2.061550200371443098e-01 -1.112600143816173115e-01
-5.652811512197966071e-01 -8.568106598294349396e-01 1.809607426734924085e-01 9.431794480575256961e-03
-1.757230368297463929e+00 1.193817547547221108e-01 -1.162357297618475116e-01 7.698766217829514959e-03
-1.008027497681078938e-01 2.416573757391451971e-01 -2.098079845615085093e-01 2.275391017338205743e-02
-1.553871508759492537e+00 -6.094342305315540997e-01 -1.368979794882869971e-01 1.066293123223930640e-02
-2.224628074275938616e-01 -1.633766086073506152e+00 -3.655036017867317397e-03 6.943847770157171063e-03
-1.283708657490180371e+00 -5.798227742931341133e-01 -1.806048908810595210e-01 6.834725362823887082e-03
-1.358871620425643745e-01 2.357034184978482383e+00 -2.268954489888835302e-01 7.143130438967519591e-03
-1.837040834995725125e-01 -2.973182993944262886e+00 -1.218066220913835707e-01 1.082309501908154149e-02
-1.251806609451016905e-01 -1.049489117043429509e+00 -5.245542626463950420e-02 8.352367174561640614e-03
-1.231152046410133760e+00 -7.505982281446410553e-01 -2.412406437485750677e-01 8.111824264302184423e-03
1.382120408415593582e-01 1.341652530096671680e-01 1.351724013484308373e-01 2.454423694887024332e-02
6.269295849526186348e-01 9.867834692426495913e-01 -2.475821070109915367e-01 1.204572821611424836e-02
-6.540491193724494723e-01 -2.079920552776937104e-01 5.364173022608390712e-02 8.679489263718654854e-03
-1.019840464427788751e+00 5.607393129968735179e-02 -6.259524637939102576e-02 -5.736562009145840073e-03
1.052469337063329791e+00 1.006926056877852860e+00 -2.391456677575795331e-01 8.829951539351321363e-03
3.176569670355288699e-01 4.485300616499798831e-01 -1.139863507079934835e-01 1.434259969826184519e-02
-1.475890931270754214e+00 -7.002469219158636848e-01 -1.940053100573982670e-01 9.281139629843828884e-03
1.170297952676502828e-01 -1.366443545916641022e-01 3.595920299904568074e-01 8.625297091291658780e-03
-6.482113778844981189e-01 -3.360478704361983260e-01 -1.985604021733682611e-01 6.912060413021066385e-03
-1.354623321263231706e+00 -9.698577239495104196e-01 -1.552389655388974887e-01 1.135987392185103077e-02
-2.612110561505426309e-02 1.759068957502631925e+00 -2.521230371324982289e-01 3.142736031325319562e-02
-4.208635408409914236e-01 -2.895507760117023155e-01 4.254330817216513405e-01 9.087683254558312843e-03
1.704387532198043287e+00 3.819449925914540356e-01 -2.267960497065631131e-01 9.078300756676498454e-03
-4.009771846502717674e-01 3.305344639643267857e-01 -2.381459415607109498e-01 5.853169575193989253e-05
-8.758992646001079185e-01 6.307603127453058345e-02 -8.914143716950620466e-02 2.032847445969663061e-03
-1.284610062357189220e+00 -1.100624242151457377e+00 -8.528484680026353348e-02 7.083433950235765164e-03
5.577002209540706801e-01 1.290361989288278499e+00 -2.557737035833088091e-01 1.131268452838412458e-02
-1.720011734195223962e-01 8.015184988577784830e-01 3.300084012583480719e-01 6.922301213976168009e-03
1.382380401900014100e-01 -1.100972600023437442e+00 -1.557692413818988486e-01 1.020623490081790097e-02
7.917348478472383544e-01 1.403536947574901106e+00 5.605151424514392744e+00 1.816509169620634731e-02
-3.757273263889492343e-01 -6.953350177613580874e-01 -2.105068439310281703e-01 1.688043612531264087e-02
1.200947361291498372e-01 -5.635683649767726788e-02 -3.064972743782752237e-02 4.084736977576008260e-03
8.494585091369123431e-01 1.024663121577117919e-01 5.337773873468284469e-01 1.389958720859498821e-02
-4.281987576000020890e-01 6.124128295764211805e-01 -2.102583886560782100e-01 1.785186751304232433e-01
1.082822293844653672e+00 7.620322695720700423e-01 -2.524644584253175617e-01 1.348567492710088175e-02
-8.268757477860533278e-01 -1.129093131491636814e+00 -1.788058367084582601e-01 8.476167192465244860e-03
